  29000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a10
  32000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a30, Fetch PC:0x7ffff7dd8a30
  29500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a18
  29500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a18
  32500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a33, Fetch PC:0x7ffff7dd8a30
  30000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a20, Fetch PC:0x7ffff7dd8a20
  30000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a20, Fetch PC:0x7ffff7dd8a20
  33000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a36, Fetch PC:0x7ffff7dd8a30
  33500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a36, Fetch PC:0x7ffff7dd8a38
  33500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a36, Fetch PC:0x7ffff7dd8a38
  30500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a20
  34000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a38
  31000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a28
  31000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a28
  34500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a40
  31500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a2b, Fetch PC:0x7ffff7dd8a28
  31500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a2b, Fetch PC:0x7ffff7dd8a28
: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a41, Fetch PC:0x7ffff7dd8a40
  32000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a30, Fetch PC:0x7ffff7dd8a30
  32000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a30, Fetch PC:0x7ffff7dd8a30
  36500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  37000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  37000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  32500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a33, Fetch PC:0x7ffff7dd8a30
  38000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  38000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  33000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a36, Fetch PC:0x7ffff7dd8a30
  39500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
  39500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
  33500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a36, Fetch PC:0x7ffff7dd8a38
  40500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  40500: sy: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a38
  40500: sy: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a38
  41000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  34500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a40
  34500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a3c, Fetch PC:0x7ffff7dd8a40
  41500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  35000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a41, Fetch PC:0x7ffff7dd8a40
  42500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  42500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  36500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  43000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  37000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  43500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5a, Fetch PC:0x7ffff7dd8a58
  38000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  38000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  44000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5d, Fetch PC:0x7ffff7dd8a58
  45500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  45500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  39500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
  46000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  40500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  40500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  47000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  41000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  41000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  48500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
